item_id,title,category,author,year,image_url,tags,synopsis
19,Slam Dunk,Shounen,Takehiko Inoue,1990,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9590738-wwww.jpg,"Esporte, Basquete, Comédia, Escolar, Superação","Hanamichi Sakuragi, um delinquente rejeitado, entra para o time de basquete da escola para impressionar uma garota, mas acaba descobrindo uma paixão pelo esporte."
20,Dragon Ball,Shounen,Akira Toriyama,1984,https://comicvine.gamespot.com/a/uploads/scale_large/0/4/44991-7104-52045-1-dragon-ball.jpg,"Artes Marciais, Aventura, Superpoderes, Alienígenas, Clássico","Goku, um garoto com cauda de macaco e força extraordinária, viaja o mundo em busca das Esferas do Dragão e treina para se tornar o lutador mais forte do universo."
21,Neon Genesis Evangelion,Sci-Fi,Yoshiyuki Sadamoto,1994,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3238176-01.jpg,"Mecha, Psicológico, Distopia, Drama, Filosófico","Adolescentes são recrutados para pilotar robôs gigantes chamados Evas e combater seres misteriosos conhecidos como Anjos, enquanto lidam com traumas profundos."
22,Monster,Suspense,Naoki Urasawa,1994,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/5882532-1.jpg,"Psicológico, Crime, Mistério, Serial Killer, Médico","O brilhante neurocirurgião Dr. Tenma salva a vida de um menino, apenas para descobrir anos depois que a criança se tornou um serial killer frio e calculista."
23,The Promised Neverland,Suspense,Kaiu Shirai,2016,https://comicvine.gamespot.com/a/uploads/scale_large/11137/111378594/8919474-1.jpg,"Mistério, Horror, Estratégia, Fuga, Orfanato","Crianças em um orfanato idílico descobrem que estão sendo criadas como gado para demônios e planejam uma fuga arriscada."
24,Blue Lock,Shounen,Muneyuki Kaneshiro,2018,https://comicvine.gamespot.com/a/uploads/scale_large/11139/111391600/8783882-6eea1a1b-bd04-4d0a-ac59-be130ce9b8a8.jpeg,"Esporte, Futebol, Rivalidade, Battle Royale, Estratégia","Um projeto radical de treinamento de futebol isola 300 atacantes jovens em uma prisão para criar o maior artilheiro egoísta do mundo."
25,Pluto,Suspense,Naoki Urasawa,2003,https://comicvine.gamespot.com/a/uploads/scale_large/11139/111391600/9042513-1662743184-91V4i.jpg,"Sci-Fi, Mistério, Robôs, Inteligência Artificial, Crime","Uma releitura sombria de Astro Boy. Um detetive robô investiga uma série de assassinatos de robôs e humanos que podem levar ao fim da coexistência entre as espécies."
26,Fairy Tail,Shounen,Hiro Mashima,2006,https://comicvine.gamespot.com/a/uploads/scale_large/0/9116/2250521-1.jpg,"Magia, Aventura, Amizade, Guilda, Comédia","Lucy Heartfilia se une à Fairy Tail, uma guilda de magos famosa e caótica, e embarca em missões mágicas com Natsu Dragneel e seu gato falante."
27,Dr. Stone,Shounen,Riichiro Inagaki,2017,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/6594480-01.jpg,"Sci-Fi, Aventura, Ciência, Sobrevivência, Pós-apocalíptico","Milhares de anos após a humanidade ser petrificada, o gênio da ciência Senku desperta e decide reconstruir a civilização do zero usando o poder da ciência."
28,Fire Force,Shounen,Atsushi Ōkubo,2015,https://comicvine.gamespot.com/a/uploads/scale_large/11137/111378594/8049696-1.jpg,"Ação, Sobrenatural, Bombeiros, Fogo, Mistério","Shinra Kusakabe se junta a uma força especial de bombeiros que combate a Combustão Humana Espontânea, onde pessoas se transformam em monstros de fogo."
29,Beelzebub,Shounen,Ryuhei Tamura,2009,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/5474976-1.jpg,"Comédia, Ação, Demônios, Escolar, Delinquentes","O delinquente Oga Tatsumi é forçado a criar o filho bebê do Rei Demônio, que foi enviado à Terra para destruir a humanidade."
30,Great Teacher Onizuka,Seinen,Toru Fujisawa,1997,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9799719-wwww.jpg,"Comédia, Escolar, Drama, Vida Real, Delinquentes","Eikichi Onizuka, um ex-líder de gangue, torna-se professor para conhecer garotas, mas acaba ajudando seus alunos problemáticos com lições de vida não convencionais."
31,Yu Yu Hakusho,Shounen,Yoshihiro Togashi,1990,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9867719-wwww.jpg,"Sobrenatural, Luta, Torneio, Detetive Espiritual, Demônios","Yusuke Urameshi morre salvando uma criança e ganha uma segunda chance como Detetive Espiritual, investigando casos sobrenaturais no mundo humano."
32,Rurouni Kenshin,Shounen,Nobuhiro Watsuki,1994,https://images-ext-1.discordapp.net/external/hbhxWc1by1ftdBuBFUQK_OnEK6dnxznY-hx3elYEPHs/https/comicvine.gamespot.com/a/uploads/scale_small/6/67663/4367451-01.jpg?format=webp,"Histórico, Samurai, Romance, Ação, Redenção","Kenshin Himura, um ex-assassino lendário, vaga pelo Japão da Era Meiji como um andarilho que jurou nunca mais matar, protegendo os fracos com sua espada de lâmina invertida."
33,Inuyasha,Shounen,Rumiko Takahashi,1996,https://comicvine.gamespot.com/a/uploads/scale_large/1/19859/462359-viz1569319472.jpg,"Fantasia, Romance, Aventura, Demônios, Viagem no Tempo","Kagome viaja no tempo para o Japão feudal e se une ao meio-demônio Inuyasha para recuperar os fragmentos da Joia de Quatro Almas antes que caiam em mãos erradas."
34,Fist of the North Star,Shounen,Buronson,1983,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/8024542-01.jpg,"Ação, Artes Marciais, Pós-apocalíptico, Violência, Clássico","Em um mundo devastado pela guerra nuclear, Kenshiro usa a arte marcial Hokuto Shinken para proteger os fracos e derrotar gangues violentas."
35,Shaman King,Shounen,Hiroyuki Takei,1998,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/7486725-01.jpg,"Sobrenatural, Ação, Torneio, Espíritos, Aventura","Yoh Asakura é um xamã que pode se comunicar com espíritos. Ele entra no Torneio Xamã para se tornar o Rei Xamã e moldar o mundo."
36,Katekyo Hitman Reborn!,Shounen,Akira Amano,2004,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3182339-01.jpg,"Máfia, Ação, Comédia, Superpoderes, Treinamento","Tsuna, um estudante desajeitado, descobre que é o herdeiro de uma família da máfia italiana e é treinado por Reborn, um assassino com aparência de bebê."
37,D.Gray-man,Shounen,Katsura Hoshino,2004,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3145640-01.jpg,"Gótico, Sobrenatural, Ação, Demônios, Religião","Exorcistas da Ordem Negra usam uma substância sagrada chamada Innocence para combater o Conde do Milênio e seu exército de Akumas, almas presas em máquinas."
38,Saint Seiya,Shounen,Masami Kurumada,1986,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5185156-01.jpg,"Mitologia, Armaduras, Luta, Ação, Cosmos","Jovens guerreiros conhecidos como Cavaleiros usam armaduras sagradas baseadas em constelações para proteger a deusa Atena e a Terra das forças do mal."
39,Soul Eater,Shounen,Atsushi Ōkubo,2004,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/1923975-01.jpg,"Sobrenatural, Ação, Comédia, Armas, Escola","Estudantes da DWMA coletam almas malignas para transformar suas armas parceiras em Death Scythes, armas usadas pelo próprio Shinigami."
40,Magi: The Labyrinth of Magic,Shounen,Shinobu Ohtaka,2009,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5552929-01.jpg,"Fantasia, Magia, Aventura, Política, Árabe","Aladdin, um jovem mago, viaja pelo mundo explorando masmorras mágicas cheias de tesouros e djins, influenciando o destino de nações."
41,Erased,Suspense,Kei Sanbe,2012,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5722007-01.jpg,"Mistério, Viagem no Tempo, Crime, Drama, Sobrenatural","Satoru Fujinuma é enviado de volta no tempo 18 anos antes de um assassinato, tendo a chance de salvar seus colegas de classe e impedir um serial killer."
42,Kaguya-sama: Love is War,Romance,Aka Akasaka,2015,https://comicvine.gamespot.com/a/uploads/scale_large/11139/111391600/8727947-1fa2f6a1-374d-4f3e-866e-867e826a1a02.jpeg,"Comédia Romântica, Escolar, Psicológico, Estratégia, Guerra","Dois gênios orgulhosos do conselho estudantil se apaixonam, mas acreditam que quem se confessar primeiro perde. Eles armam esquemas complexos para fazer o outro se declarar."
43,Nisekoi,Romance,Naoshi Komi,2011,https://comicvine.gamespot.com/a/uploads/scale_large/11145/111450787/8993507-9164430041-71rdd.jpg,"Comédia Romântica, Harém, Escolar, Yakuza, Falso Namoro","O filho de um chefe da Yakuza e a filha de um líder de gangue rival fingem namorar para evitar uma guerra entre as famílias, enquanto ele busca uma garota de sua infância."
44,Lovely Complex,Romance,Aya Nakahara,2001,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/6023724-1.jpg,"Comédia Romântica, Escolar, Altura, Amizade, Shoujo","Risa (uma garota muito alta) e Otani (um garoto muito baixo) são conhecidos como uma dupla de comédia, mas acabam desenvolvendo sentimentos um pelo outro."
45,Your Lie in April,Romance,Naoshi Arakawa,2011,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4517755-01.jpg,"Drama, Música, Escolar, Tragédia, Superação","Um pianista prodígio que perdeu a capacidade de ouvir sua própria música encontra cor e inspiração ao conhecer uma violinista excêntrica e livre."
46,Fruits Basket,Romance,Natsuki Takaya,1998,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/2914812-01.jpg,"Sobrenatural, Drama, Comédia, Família, Zodíaco","Tohru Honda vai morar com a misteriosa família Sohma e descobre que eles se transformam em animais do zodíaco chinês quando abraçados pelo sexo oposto."
47,Horimiya,Romance,HERO,2007,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5610126-01.jpg,"Comédia Romântica, Slice of Life, Escolar, Segredos, Vida Cotidiana","Hori, uma garota popular, e Miyamura, um garoto sombrio, descobrem os lados secretos um do outro fora da escola e começam uma relação improvável."
48,Toradora!,Romance,Yuyuko Takemiya,2007,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5555228-01.jpg,"Comédia Romântica, Escolar, Tsundere, Drama, Amizade","Ryuuji, com cara de delinquente, e Taiga, uma pequena e feroz garota, formam uma aliança para ajudar um ao outro a conquistar seus melhores amigos."
49,Ouran High School Host Club,Romance,Bisco Hatori,2002,https://comicvine.gamespot.com/a/uploads/scale_large/3/33913/1034989-ouran001.jpg,"Comédia, Harém Reverso, Escolar, Riqueza, Paródia","Haruhi Fujioka, uma bolsista, quebra um vaso caro e é forçada a trabalhar para o excêntrico Host Club da escola fingindo ser um garoto."
50,Kimi ni Todoke,Romance,Karuho Shiina,2005,https://comicvine.gamespot.com/a/uploads/scale_large/11112/111128955/3903072-1.jpg,"Escolar, Shoujo, Incompreensão, Amizade, Doce","Sawako, temida por sua aparência sombria, começa a mudar e fazer amigos graças à gentileza do garoto mais popular da escola, Kazehaya."
51,Nana,Josei,Ai Yazawa,2000,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5245220-01.jpg,"Música, Drama, Romance, Vida Adulta, Amizade","Duas garotas chamadas Nana, uma vocalista punk e uma sonhadora ingênua, se encontram em um trem para Tóquio e acabam dividindo um apartamento e suas vidas."
52,Paradise Kiss,Josei,Ai Yazawa,1999,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/6215397-1.jpg,"Moda, Romance, Drama, Amadurecimento, Estilo","Yukari, uma estudante focada nos estudos, é recrutada por um grupo de estudantes de moda para ser modelo de sua marca, descobrindo um novo mundo de paixão e arte."
53,Akame ga Kill!,Shounen,Takahiro,2010,https://comicvine.gamespot.com/a/uploads/scale_large/11111/111112793/3468939-0150581451-Volum.png,"Ação, Fantasia Sombria, Assassinato, Revolução, Tragédia","Tatsumi se junta à Night Raid, um grupo de assassinos que luta contra um império corrupto usando armas imperiais antigas e poderosas."
54,Made in Abyss,Seinen,Akihito Tsukushi,2012,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4624202-01.jpg,"Aventura, Fantasia Sombria, Exploração, Mistério, Horror","Uma órfã e um robô descem em um abismo misterioso e mortal em busca da mãe da garota, encontrando maravilhas e horrores indescritíveis."
55,Blame!,Seinen,Tsutomu Nihei,1997,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9865006-wwww.jpg,"Sci-Fi, Cyberpunk, Distopia, Ação, Arquitetura","Killy vaga por uma megaestrutura cibernética infinita e labiríntica em busca de humanos com o Gene Terminal da Rede para restaurar o controle do mundo."
56,Dorohedoro,Seinen,Q Hayashida,2000,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5577629-01.jpg,"Fantasia Sombria, Comédia, Gore, Mistério, Magia","Caiman, um homem com cabeça de lagarto e amnésia, caça feiticeiros em uma cidade decadente para encontrar aquele que o amaldiçoou."
57,No Guns Life,Seinen,Tasuku Karasuma,2014,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/7073757-01.jpg,"Cyberpunk, Noir, Detetive, Ação, Sci-Fi","Juzo Inui, um ex-soldado com uma arma gigante no lugar da cabeça, trabalha como um Resolver, lidando com casos envolvendo ciborgues e a megacorporação Berühren."
58,Deadman Wonderland,Shounen,Jinsei Kataoka,2007,https://comicvine.gamespot.com/a/uploads/scale_large/11137/111378594/8072875-deadman-wonderland-1.jpg,"Ação, Terror, Prisão, Sobrenatural, Sangue","Ganta é falsamente acusado de matar sua turma e enviado para uma prisão que também é um parque de diversões, onde deve lutar usando seu sangue como arma para sobreviver."
59,Elfen Lied,Seinen,Lynn Okamoto,2002,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/2513019-01.jpg,"Sci-Fi, Terror, Psicológico, Romance, Gore","Lucy, uma mutante com poderes telecinéticos invisíveis, foge de um laboratório e perde a memória, sendo acolhida por dois primos, enquanto é caçada pelo governo."
60,Hellsing,Seinen,Kouta Hirano,1997,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9455059-hellsing1-000a.jpg,"Vampiros, Ação, Sobrenatural, Terror, Militar","A organização Hellsing, liderada por Integra e sua arma suprema, o vampiro Alucard, protege a Inglaterra de ameaças sobrenaturais e nazistas mortos-vivos."
61,Black Lagoon,Seinen,Rei Hiroe,2002,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/2454695-01_cropped.jpg,"Ação, Crime, Máfia, Piratas Modernos, Armas","Um empresário japonês é sequestrado por piratas modernos no sudeste asiático e decide se juntar a eles, mergulhando no submundo do crime e da violência."
62,Golden Kamuy,Seinen,Satoru Noda,2014,https://comicvine.gamespot.com/a/uploads/scale_large/11156/111569227/9274260-1.jpg,"Aventura, Histórico, Sobrevivência, Culinária, Ação","Um veterano de guerra e uma garota Ainu buscam um tesouro de ouro escondido, seguindo um mapa tatuado nas peles de prisioneiros fugitivos em Hokkaido."
63,Uzaki-chan Wants to Hang Out!,Comédia,Take,2017,https://comicvine.gamespot.com/a/uploads/scale_large/11/113021/8006696-uzaki-chanwantstohangoutvol01.jpg,"Comédia, Ecchi, Slice of Life, Universitário, Romance","Hana Uzaki persegue seu senpai solitário, Shinichi Sakurai, tentando torná-lo mais social e divertido, muitas vezes com resultados irritantes e engraçados."
64,Grand Blue,Comédia,Kenji Inoue,2014,https://comicvine.gamespot.com/a/uploads/scale_large/11172/111728095/8826054-1192420668-image.php.jpg,"Comédia, Mergulho, Bebida, Universitário, Slice of Life","Iori Kitahara se muda para uma cidade litorânea para a faculdade e acaba sendo arrastado para um clube de mergulho cheio de festas, álcool e nudez."
65,Konosuba,Comédia,Natsume Akatsuki,2013,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5532930-01.jpg,"Isekai, Comédia, Fantasia, Aventura, Paródia","Kazuma morre e reencarna em um mundo de fantasia com uma deusa inútil, Aqua. Eles formam um grupo disfuncional para derrotar o Rei Demônio."
66,Azumanga Daioh,Comédia,Kiyohiko Azuma,1999,https://comicvine.gamespot.com/a/uploads/scale_large/8/83918/2315975-screenshot_01.jpg,"Comédia, Slice of Life, Escolar, 4-koma, Cotidiano","A vida diária surreal e engraçada de um grupo de garotas do ensino médio, incluindo uma criança prodígio e uma amante de gatos."
67,School Rumble,Comédia,Jin Kobayashi,2002,https://comicvine.gamespot.com/a/uploads/scale_large/11139/111391600/9026581-s-l1600.jpg,"Comédia, Escolar, Romance, Mal-entendidos, Delinquente","Um triângulo amoroso caótico e cheio de mal-entendidos entre uma estudante, um delinquente que a ama secretamente e um garoto excêntrico."
68,Nichijou,Comédia,Keiichi Arawi,2006,https://comicvine.gamespot.com/a/uploads/scale_large/11137/111378594/8946460-1.jpg,"Comédia, Absurdo, Slice of Life, Escolar, Surreal","O cotidiano bizarro de estudantes e uma robô, onde eventos mundanos se transformam em situações absurdamente exageradas e cômicas."
69,Yotsuba&,Comédia,Kiyohiko Azuma,2003,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3260133-01.jpg,"Slice of Life, Comédia, Infância, Inocência, Cotidiano","As aventuras cotidianas e descobertas de Yotsuba, uma garotinha de 5 anos curiosa e enérgica, e suas interações com o mundo ao seu redor."
70,Gintama,Comédia,Hideaki Sorachi,2003,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9203877-gintama_01-001.jpg,"Comédia, Ação, Sci-Fi, Histórico, Paródia","Em um Japão feudal invadido por alienígenas, o samurai freelancer Gintoki Sakata realiza trabalhos estranhos para pagar o aluguel, misturando comédia absurda e ação séria."
71,Assassination Classroom,Shounen,Yusei Matsui,2012,https://comicvine.gamespot.com/a/uploads/scale_small/6/67663/4378104-01.jpg,"Ação, Comédia, Escolar, Professor, Assassinato","Uma classe de desajustados tem a missão de assassinar seu professor alienígena superpoderoso, Koro-sensei, antes que ele destrua a Terra."
72,Medaka Box,Shounen,Nisio Isin,2009,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/6122683-1.jpg,"Ação, Escolar, Superpoderes, Ecchi, Meta","Medaka Kurokami, presidente do conselho estudantil perfeita, resolve os problemas dos alunos com a ajuda de seu amigo de infância, enfrentando inimigos cada vez mais absurdos."
73,To Love-Ru,Romance,Saki Hasemi,2006,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9865284-wwww.jpg,"Comédia Romântica, Ecchi, Sci-Fi, Harém, Escolar","Rito Yuki acidentalmente fica noivo de uma princesa alienígena, Lala, e sua vida se torna um caos cheio de garotas extraterrestres e situações constrangedoras."
74,Chobits,Romance,CLAMP,2001,https://comicvine.gamespot.com/a/uploads/scale_small/11/110017/9868028-wwww.jpg,"Sci-Fi, Romance, Androids, Mistério, Seinen","Hideki encontra um computador pessoal com forma humana (Persocom) no lixo. Ele a chama de Chi e tenta descobrir seu passado misterioso e se ela pode amar."
75,Cardcaptor Sakura,Shoujo,CLAMP,1996,https://comicvine.gamespot.com/a/uploads/scale_small/0/9116/1973956-1.jpg,"Magia, Aventura, Cartas, Romance, Clássico","Sakura Kinomoto acidentalmente libera as Cartas Clow mágicas e deve capturá-las para evitar uma catástrofe, enquanto lida com a vida escolar e o amor."
76,Sailor Moon,Shoujo,Naoko Takeuchi,1991,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9867778-wwww.jpg,"Magia, Aventura, Romance, Guerreiras, Clássico","Usagi Tsukino se transforma na guerreira Sailor Moon para proteger a Terra de vilões e encontrar a lendária Princesa da Lua e o Cristal de Prata."
77,Magic Knight Rayearth,Shoujo,CLAMP,1993,https://comicvine.gamespot.com/a/uploads/scale_small/0/3125/3507688-mag1.jpg,"Fantasia, Isekai, Mecha, Aventura, Magia","Três garotas são transportadas para o mundo mágico de Cefiro e encarregadas de salvar a princesa que mantém o mundo estável, pilotando robôs mágicos."
78,Skip Beat!,Shoujo,Yoshiki Nakamura,2002,https://comicvine.gamespot.com/a/uploads/scale_small/6/67663/4079807-01.jpg,"Romance, Comédia, Showbiz, Vingança, Atuação","Kyoko Mogami entra no mundo do entretenimento para se vingar de seu amigo de infância que a usou como empregada enquanto se tornava um ídolo pop."
79,Kamichama Karin,Shoujo,Koge-Donbo,2002,https://comicvine.gamespot.com/a/uploads/square_small/4/46951/1526050-kamichamakarin01.jpg,"Magia, Romance, Deuses, Escolar, Mistério","Karin descobre que o anel deixado por sua mãe lhe dá o poder de se transformar em uma deusa. Ela se une a outros garotos com poderes divinos."
80,Kodomo no Omocha,Shoujo,Miho Obana,1994,https://comicvine.gamespot.com/a/uploads/scale_small/13/136525/6266793-1.jpg,"Comédia, Drama, Escolar, Showbiz, Infância","Sana Kurata, uma atriz infantil enérgica, tenta lidar com os problemas em sua sala de aula causados pelo líder dos garotos, Akito Hayama."
81,Angel Sanctuary,Shoujo,Kaori Yuki,1994,https://comicvine.gamespot.com/a/uploads/scale_small/6/67663/1944337-01.jpg,"Fantasia, Romance, Anjos, Tabu, Gótico","Setsuna Mudo, a reencarnação de um anjo rebelde, luta contra o Céu e o Inferno para salvar a alma de sua irmã, por quem é apaixonado."
82,Ousama Ranking,Shounen,Sōsuke Tōka,2017,https://comicvine.gamespot.com/a/uploads/scale_large/11145/111450787/8922574-8328957501-71qCe.jpg,"Fantasia, Aventura, Deficiência, Amizade, Emocionante","Bojji, um príncipe surdo e sem força física, parte em uma jornada para provar seu valor e se tornar o maior rei do mundo, acompanhado por uma sombra amiga."
83,A Certain Magical Index,Shounen,Kazuma Kamachi,2004,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4570337-01.jpg,"Sci-Fi, Magia, Ação, Superpoderes, Cidade Acadêmica","Toma Kamijou, um estudante com a habilidade de anular poderes sobrenaturais, protege uma freira que possui o conhecimento de 103.000 livros mágicos proibidos."
